code,pop,name,rho,spring,autumn,summer,winter,unknown,Salinity,Notes,AF,secchi,lon,lat
HGS2_Riga_Baltic_Spring,HGS2_Riga_Baltic_Spring,Riga,Y,Y,,,,,3,,1,3.48335751070484,24.020233,57.066124
HGS3_Riga_Baltic_Autumn,HGS3_Riga_Baltic_Autumn,Riga,Y,,Y,,,,3,,0.404255319148936,3.48335751070484,24.020233,57.066124
HGS4_Riga_Baltic_Autumn,HGS4_Riga_Baltic_Autumn,Riga,Y,,Y,,,,3,,0.321428571428571,3.48335751070484,24.020233,57.066124
HGS11_RingkobingFjord_NorthSea_Spring,HGS11_RingkobingFjord_Spring,RingkobingFjord,Y,Y,,,,,35,,0.023255813953488,9.05971145629883,8.204706,55.997827
HGS71_Rugen_Baltic_Spring,HGS71_Rugen_Baltic_Spring,Rugen,Y,Y,,,,,3,,0.111111111111111,4.53570378635248,13.546667,54.222778
HGS72_Rugen_Baltic_Spring,HGS72_Rugen_Baltic_Spring,Rugen,Y,Y,,,,,3,,0.063829787234043,4.53570378635248,13.546667,54.222778
HGS5_Schleich_Baltic_Autumn,HGS5_Schlei_Baltic_Autumn,Schleich,Y,,Y,,,,35,,NA,6.80611966161027,9.852501,54.595976
HGS5_Schleich_Baltic_Spring,HGS6_Schlei_Baltic_Spring,Schleich,Y,Y,,,,,35,,NA,6.80611966161027,9.852501,54.595976
PB10_Skagerrak_Atlantic_Spring,PB10_Skagerrak_Atlantic_Spring,Skagerrak,Y,Y,,,,,25,,0,9.05971145629883,11.35,58.316667
TysklandS33_Germany_Baltic,,Tyskland_Germany,,,,,,Y,35,,0.148148148148148,6.48458027519032,11.359863,54.072283
,,Vancouver,,Y,,,,,35,,NA,9.05971145629883,-123.152962,49.28326
WhiteSea11_WhiteSea_WhiteSea,,WhiteSea,,,,,,,3,,0,3.48335751070484,40.354899,66.286813
WhiteSea27_WhiteSea_WhiteSea,,WhiteSea,,,,,,,3,,0,3.48335751070484,40.354899,66.286813
WhiteSea28_WhiteSea_WhiteSea,,WhiteSea,,,,,,,3,,0,3.48335751070484,40.354899,66.286813
WhiteSea48_WhiteSea_WhiteSea,,WhiteSea,,,,,,,3,,0,3.48335751070484,40.354899,66.286813
WhiteSea51_WhiteSea_WhiteSea,,WhiteSea,,,,,,,3,,0,3.48335751070484,40.354899,66.286813
WhiteSea7_WhiteSea_WhiteSea,,WhiteSea,,,,,,,3,,0,3.48335751070484,40.354899,66.286813
WhiteSea9_WhiteSea_WhiteSea,,WhiteSea,,,,,,,3,,0,3.48335751070484,40.354899,66.286813
PB8_Pacific_Pacific_Spring,PB8_Pacific_Pacific_Spring,Pacific,,,,,,,35,,0,9.05971145629883,34.267634,66.3975
